,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
0,NP Kenjige,2023-2023,11,10,5,146,43,29.20,76.04,-,-,-
1,Aarif Sheikh,2023-2023,16,13,1,322,63,26.83,71.23,-,2,1
2,Aaron Jones,2023-2023,10,10,0,246,75,24.60,64.73,-,2,-
3,Aasif Sheikh,2023-2023,20,20,2,595,110,33.05,79.01,1,5,5
4,Aayan Afzal Khan,2023-2023,22,19,5,368,94*,26.28,80.87,-,2,4
5,SA Abbott,2023-2023,10,8,1,123,54,17.57,106.03,-,1,1
6,Abdullah Shafique,2023-2023,11,11,0,414,113,37.63,88.84,1,4,1
7,Abdul Rahman,2023-2023,3,3,1,10,4*,5.00,27.02,-,-,-
8,CN Ackermann,2023-2023,12,12,0,331,69,27.58,77.69,-,2,1
9,MR Adair,2023-2023,17,10,3,118,20*,16.85,151.28,-,-,1
10,Adhitya Shetty,2023-2023,1,-,0,-,-,-,0.0,-,-,-
11,Afif Hossain,2023-2023,8,7,1,67,23,11.16,72.82,-,-,1
12,AC Agar,2023-2023,2,2,1,65,48*,65.00,72.22,-,-,-
13,Agha Salman,2023-2023,18,14,3,386,58,35.09,95.54,-,3,-
14,Rehan Ahmed,2023-2023,3,2,0,8,6,4.00,53.33,-,-,-
15,DS Airee,2023-2023,21,20,4,392,85*,24.50,80.16,-,2,1
16,Akeem Jordan,2023-2023,2,1,1,3,3*,-,50.0,-,-,-
17,MM Ali,2023-2023,15,15,0,304,51,20.26,91.56,-,1,-
18,Ali Khan,2023-2023,8,5,2,16,6,5.33,100.0,-,-,-
19,Ali Naseer,2023-2023,9,9,1,204,58,25.50,101.49,-,2,-
20,FH Allen,2023-2023,11,11,0,195,51,17.72,91.12,-,1,3
21,CJA Amini,2023-2023,11,11,0,270,109,24.54,73.56,1,1,-
22,Anamul Haque,2023-2023,1,1,0,4,4,4.00,36.36,-,-,-
23,Ansh Tandon,2023-2023,1,1,0,10,10,10.00,55.55,-,-,-
24,Aqib Ilyas,2023-2023,8,7,0,192,53,27.42,77.73,-,2,-
25,SSD Arachchige,2023-2023,2,1,0,57,57,57.00,80.28,-,1,-
26,V Aravind,2023-2023,26,26,1,792,94,31.68,68.21,-,4,4
27,JC Archer,2023-2023,4,2,1,5,5*,5.00,35.71,-,-,1
28,Aryan Lakra,2023-2023,14,14,0,291,53,20.78,54.49,-,3,2
29,KIC Asalanka,2023-2023,31,26,3,808,108,35.13,86.5,1,4,1
30,R Ashwin,2023-2023,3,-,0,-,-,-,0.0,-,-,-
31,Asif Khan,2023-2023,24,24,3,934,151*,44.47,88.19,3,4,2
32,A Athanaze,2023-2023,4,4,0,125,65,31.25,102.45,-,1,-
33,AAP Atkinson,2023-2023,6,4,1,39,35,13.00,150.0,-,-,1
34,Ayaan Khan,2023-2023,9,9,1,345,105*,43.12,94.52,1,-,-
35,Azmatullah Omarzai,2023-2023,15,12,4,455,97*,56.87,94.39,-,4,-
36,Babar Azam,2023-2023,25,24,1,1065,151,46.30,84.65,2,10,1
37,JM Bairstow,2023-2023,12,12,0,234,59,19.50,87.31,-,2,2
38,A Balbirnie,2023-2023,15,13,2,377,121*,34.27,74.06,1,2,1
39,GS Ballance,2023-2023,5,5,1,157,64*,39.25,80.1,-,2,-
40,KNA Bandara,2023-2023,1,-,0,-,-,-,0.0,-,-,-
41,W Barresi,2023-2023,15,15,0,344,97,22.93,87.75,-,2,1
42,Basil Hameed,2023-2023,9,9,0,243,49,27.00,73.63,-,-,1
43,S Bau,2023-2023,13,13,1,339,81*,28.25,74.83,-,3,-
44,T Bavuma,2023-2023,18,18,2,782,144,48.87,96.66,3,2,2
45,RD Berrington,2023-2023,11,10,1,342,127,38.00,79.16,1,2,1
46,RN Bhatia,2023-2023,1,1,0,2,2,2.00,33.33,-,-,-
47,K Bhurtel,2023-2023,21,21,0,590,115,28.09,91.33,1,3,2
48,Bilal Khan,2023-2023,9,4,3,4,3*,4.00,23.52,-,-,1
49,K Birkenstock,2023-2023,8,7,1,94,31,15.66,60.25,-,-,1
50,D Birrell,2023-2023,1,1,0,-,0,0.00,0.0,-,-,1
51,DG Blampied,2023-2023,3,2,0,7,7,3.50,53.84,-,-,1
52,TA Blundell,2023-2023,7,7,2,206,68,41.20,88.41,-,2,-
53,TA Boult,2023-2023,15,7,4,25,10*,8.33,73.52,-,-,-
54,CJ Bowes,2023-2023,6,6,0,99,51,16.50,83.19,-,1,-
55,MG Bracewell,2023-2023,6,6,0,246,140,41.00,128.12,1,-,-
56,HC Brook,2023-2023,12,12,0,292,80,24.33,95.73,-,2,1
57,SSJ Brooks,2023-2023,8,8,0,148,44,18.50,72.19,-,-,2
58,JJ Bumrah,2023-2023,17,6,1,44,16,8.80,66.66,-,-,-
59,RP Burl,2023-2023,13,10,1,343,83,38.11,113.2,-,3,-
60,JC Buttler,2023-2023,19,19,1,686,131,38.11,107.52,1,3,-
61,C Campher,2023-2023,16,11,1,305,120,30.50,99.34,1,1,-
62,AT Carey,2023-2023,10,9,0,185,99,20.55,91.58,-,1,1
63,Y Cariah,2023-2023,8,4,0,35,19,8.75,49.29,-,-,-
64,HL Carlyon,2023-2023,5,5,0,143,85,28.60,86.14,-,1,-
65,BA Carse,2023-2023,3,2,1,47,32,47.00,109.3,-,-,-
66,KU Carty,2023-2023,7,7,2,229,87,45.80,73.63,-,1,-
67,YS Chahal,2023-2023,2,-,0,-,-,-,0.0,-,-,-
68,PVD Chameera,2023-2023,6,4,0,6,4,1.50,15.38,-,-,1
69,MS Chapman,2023-2023,13,11,1,202,46,20.20,115.42,-,-,-
70,J Charles,2023-2023,10,10,0,254,66,25.40,93.38,-,3,2
71,RL Chase,2023-2023,9,5,1,134,55,33.50,85.89,-,1,-
72,TL Chatara,2023-2023,8,4,1,16,8,5.33,50.0,-,-,-
73,CJ Chibhabha,2023-2023,2,2,0,56,40,28.00,67.46,-,-,-
74,Chirag Suri,2023-2023,2,2,0,5,5,2.50,33.33,-,-,1
75,G Coetzee,2023-2023,14,7,0,57,22,8.14,63.33,-,-,1
76,KJ Coetzer,2023-2023,3,3,1,68,46*,34.00,69.38,-,-,1
77,M Commins,2023-2023,2,1,0,6,6,6.00,46.15,-,-,-
78,DP Conway,2023-2023,20,20,2,821,152*,45.61,98.79,4,1,2
79,TLW Cooper,2023-2023,3,3,0,77,74,25.66,82.79,-,1,-
80,Z Crawley,2023-2023,2,2,0,51,51,25.50,115.9,-,1,1
81,NRJ Croes,2023-2023,1,1,0,7,7,7.00,116.66,-,-,-
82,MH Cross,2023-2023,11,10,1,223,74*,24.77,60.76,-,1,1
83,PJ Cummins,2023-2023,13,10,6,168,37,42.00,77.41,-,-,-
84,SM Curran,2023-2023,11,11,1,212,42,21.20,95.49,-,-,-
85,EC D'Souza,2023-2023,3,2,0,9,6,4.50,47.36,-,-,-
86,TH David,2023-2023,4,4,0,45,35,11.25,84.9,-,-,-
87,N Davin,2023-2023,5,5,0,142,90,28.40,101.42,-,1,-
88,Q de Kock,2023-2023,20,20,0,937,174,46.85,100.64,4,1,-
89,GJ Delany,2023-2023,8,5,1,75,20,18.75,110.29,-,-,-
90,BFW de Leede,2023-2023,16,16,1,424,123,28.26,88.14,1,1,-
91,DM de Silva,2023-2023,27,23,2,519,93,24.71,81.6,-,2,1
