,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
0,NP Kenjige,2023-2023,11,10,528,3,431,8,2/41,53.87,4.89,66.0,-,-,6,-
1,Aarif Sheikh,2023-2023,16,10,231,-,210,2,1/30,105.00,5.45,115.5,-,-,10,-
2,Aaron Jones,2023-2023,10,2,24,-,26,-,-,-,6.50,-,-,-,3,-
3,Aasif Sheikh,2023-2023,20,-,0,-,-,-,-,-,-,-,-,-,10,1
4,Aayan Afzal Khan,2023-2023,22,22,1178,10,801,27,3/21,29.66,4.07,43.6,-,-,1,-
5,SA Abbott,2023-2023,10,10,507,2,487,13,3/23,37.46,5.76,39.0,-,-,5,-
6,Abdullah Shafique,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,5,-
7,Abdul Rahman,2023-2023,3,3,104,-,133,1,1/83,133.00,7.67,104.0,-,-,-,-
8,CN Ackermann,2023-2023,12,12,434,3,370,7,2/39,52.85,5.11,62.0,-,-,7,-
9,MR Adair,2023-2023,17,17,821,7,773,28,4/40,27.60,5.64,29.3,-,-,9,-
10,Adhitya Shetty,2023-2023,1,1,60,1,56,1,1/56,56.00,5.60,60.0,-,-,1,-
11,Afif Hossain,2023-2023,8,1,6,-,6,-,-,-,6.00,-,-,-,3,-
12,AC Agar,2023-2023,2,2,114,-,81,3,2/41,27.00,4.26,38.0,-,-,-,-
13,Agha Salman,2023-2023,18,13,378,-,369,4,2/42,92.25,5.85,94.5,-,-,12,-
14,Rehan Ahmed,2023-2023,3,2,120,-,116,5,4/54,23.20,5.80,24.0,-,-,1,-
15,DS Airee,2023-2023,21,21,835,9,567,17,3/18,33.35,4.07,49.1,-,-,15,-
16,Akeem Jordan,2023-2023,2,2,66,2,56,1,1/36,56.00,5.09,66.0,-,-,2,-
17,MM Ali,2023-2023,15,15,618,2,593,16,4/50,37.06,5.75,38.6,-,-,11,-
18,Ali Khan,2023-2023,8,8,356,4,302,19,7/32,15.89,5.08,18.7,1,-,1,-
19,Ali Naseer,2023-2023,9,9,422,2,396,10,2/37,39.60,5.63,42.2,-,-,-,-
20,FH Allen,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,4,-
21,CJA Amini,2023-2023,11,7,114,-,152,1,1/15,152.00,8.00,114.0,-,-,5,-
22,Anamul Haque,2023-2023,1,-,0,-,-,-,-,-,-,-,-,-,1,-
23,Ansh Tandon,2023-2023,1,-,0,-,-,-,-,-,-,-,-,-,-,-
24,Aqib Ilyas,2023-2023,8,6,168,-,178,1,1/52,178.00,6.35,168.0,-,-,-,-
25,SSD Arachchige,2023-2023,2,1,30,-,18,1,1/18,18.00,3.60,30.0,-,-,-,-
26,V Aravind,2023-2023,26,-,0,-,-,-,-,-,-,-,-,-,8,5
27,JC Archer,2023-2023,4,4,228,2,193,12,6/40,16.08,5.07,19.0,1,-,1,-
28,Aryan Lakra,2023-2023,14,10,282,4,245,6,3/38,40.83,5.21,47.0,-,-,7,-
29,KIC Asalanka,2023-2023,31,3,61,1,29,4,4/18,7.25,2.85,15.2,-,-,8,-
30,R Ashwin,2023-2023,3,3,162,1,122,5,3/41,24.40,4.51,32.4,-,-,1,-
31,Asif Khan,2023-2023,24,-,0,-,-,-,-,-,-,-,-,-,6,-
32,A Athanaze,2023-2023,4,1,6,-,7,-,-,-,7.00,-,-,-,3,-
33,AAP Atkinson,2023-2023,6,6,246,-,240,5,2/45,48.00,5.85,49.2,-,-,-,-
34,Ayaan Khan,2023-2023,9,9,348,1,349,7,2/46,49.85,6.01,49.7,-,-,3,-
35,Azmatullah Omarzai,2023-2023,15,15,412,2,445,9,2/52,49.44,6.48,45.7,-,-,1,-
36,Babar Azam,2023-2023,25,-,0,-,-,-,-,-,-,-,-,-,7,-
37,JM Bairstow,2023-2023,12,-,0,-,-,-,-,-,-,-,-,-,7,-
38,A Balbirnie,2023-2023,15,-,0,-,-,-,-,-,-,-,-,-,6,-
39,GS Ballance,2023-2023,5,-,0,-,-,-,-,-,-,-,-,-,5,-
40,KNA Bandara,2023-2023,1,-,0,-,-,-,-,-,-,-,-,-,-,-
41,W Barresi,2023-2023,15,-,0,-,-,-,-,-,-,-,-,-,4,-
42,Basil Hameed,2023-2023,9,6,120,2,112,3,2/20,37.33,5.60,40.0,-,-,3,-
43,S Bau,2023-2023,13,5,206,-,199,3,2/38,66.33,5.79,68.6,-,-,5,-
44,T Bavuma,2023-2023,18,-,0,-,-,-,-,-,-,-,-,-,7,-
45,RD Berrington,2023-2023,11,1,6,-,9,-,-,-,9.00,-,-,-,4,-
46,RN Bhatia,2023-2023,1,1,42,-,43,1,1/43,43.00,6.14,42.0,-,-,-,-
47,K Bhurtel,2023-2023,21,3,48,-,36,1,1/22,36.00,4.50,48.0,-,-,12,-
48,Bilal Khan,2023-2023,9,9,494,6,509,19,5/55,26.78,6.18,26.0,1,-,-,-
49,K Birkenstock,2023-2023,8,7,198,-,214,2,1/34,107.00,6.48,99.0,-,-,3,-
50,D Birrell,2023-2023,1,1,60,-,54,1,1/54,54.00,5.40,60.0,-,-,-,-
