,Series/Tournament,Season,Winner,Margin,Team1_Score,Team2_Score
0,New Zealand in Pakistan ODI Series,2022/23,New Zealand,2-1 (3),2,1
1,Sri Lanka in India ODI Series,2022/23,India,3-0 (3),3,0
2,Ireland in Zimbabwe ODI Series,2022/23,drawn,1-1 (3),1,1
3,New Zealand in India ODI Series,2022/23,India,3-0 (3),3,0
4,England in South Africa ODI Series,2022/23,South Africa,2-1 (3),2,1
5,England in Bangladesh ODI Series,2022/23,England,2-1 (3),2,1
6,West Indies in South Africa ODI Series,2022/23,drawn,1-1 (3),1,1
7,Australia in India ODI Series,2022/23,Australia,2-1 (3),2,1
8,Ireland in Bangladesh ODI Series,2022/23,Bangladesh,2-0 (3),2,0
9,Netherlands in Zimbabwe ODI Series,2022/23,Zimbabwe,2-1 (3),2,1
10,Sri Lanka in New Zealand ODI Series,2022/23,New Zealand,2-0 (3),2,0
11,Netherlands in South Africa ODI Series,2021/22-2022/23,South Africa,2-0 (3),2,0
12,"ICC Cricket World Cup Qualifier Play-off (Canada, Jersey, Namibia, Papua New Guinea, United Arab Emirates, United States of America in Namibia)",2023,U.S.A.,-,,
13,ACC Men's Premier Cup (in Nepal),2023,Nepal,-,,
14,New Zealand in Pakistan ODI Series,2023,Pakistan,4-1 (5),4,1
15,Ireland v Bangladesh ODI Series (in England),2023,Bangladesh,2-0 (3),2,0
16,Afghanistan in Sri Lanka ODI Series,2023,Sri Lanka,2-1 (3),2,1
17,West Indies in United Arab Emirates ODI Series,2023,West Indies,3-0 (3),3,0
18,ICC Cricket World Cup Qualifier (in Zimbabwe),2023,Sri Lanka,-,,
19,Afghanistan in Bangladesh ODI Series,2023,Afghanistan,2-1 (3),2,1
20,India in West Indies ODI Series,2023,India,2-1 (3),2,1
21,Afghanistan v Pakistan ODI Series (in Sri Lanka),2023,Pakistan,3-0 (3),3,0
22,New Zealand in England ODI Series,2023,England,3-1 (4),3,1
23,Australia in South Africa ODI Series,2023/24,South Africa,3-2 (5),3,2
24,"Asia Cup (Afghanistan, Bangladesh, India, Nepal, Pakistan, Sri Lanka in Pakistan/Sri Lanka)",2023,India,-,,
25,New Zealand in Bangladesh ODI Series,2023,New Zealand,2-0 (3),2,0
26,Ireland in England ODI Series,2023,England,1-0 (3),1,0
27,Australia in India ODI Series,2023/24,India,2-1 (3),2,1
28,ICC Cricket World Cup (in India),2023/24,Australia,-,,
