,Player,Mat,Inns,NO,Runs,BF,HS,Ave,SR,100,50,0,4s,6s,Country,Type
0,AC Agar,2,2,1,65,90,48*,65.00,72.22,0,0,0,3,2,Australia,batting
1,TM Head,13,13,2,570,428,137,51.81,133.17,2,3,1,74,21,Australia,batting
2,GJ Maxwell,11,11,3,413,283,201*,51.62,145.93,2,0,1,41,22,Australia,batting
3,MR Marsh,20,20,2,858,753,177*,47.66,113.94,2,5,3,96,43,Australia,batting
4,DA Warner,20,20,0,925,821,163,46.25,112.66,3,6,1,95,38,Australia,batting
5,M Labuschagne,22,20,2,826,1010,124,45.88,81.78,1,5,0,83,5,Australia,batting
6,PJ Cummins,13,10,6,168,217,37,42.00,77.41,0,0,0,16,6,Australia,batting
7,SPD Smith,16,15,1,439,528,74,31.35,83.14,0,3,3,45,4,Australia,batting
8,NT Ellis,5,4,2,57,51,18,28.50,111.76,0,0,0,3,4,Australia,batting
9,AT Carey,10,9,0,185,202,99,20.55,91.58,0,1,1,15,5,Australia,batting
10,JP Inglis,16,14,0,287,295,58,20.50,97.28,0,2,2,29,7,Australia,batting
11,MP Stoinis,13,11,1,191,167,35,19.10,114.37,0,0,0,24,5,Australia,batting
12,C Green,10,9,1,152,209,47,19.00,72.72,0,0,0,14,1,Australia,batting
13,SA Abbott,10,8,1,123,116,54,17.57,106.03,0,1,1,12,6,Australia,batting
14,JR Hazlewood,16,8,5,40,29,23,13.33,137.93,0,0,1,5,2,Australia,batting
15,MA Starc,14,11,3,102,174,28,12.75,58.62,0,0,1,8,2,Australia,batting
16,TH David,4,4,0,45,53,35,11.25,84.9,0,0,0,3,3,Australia,batting
17,A Zampa,20,12,4,79,102,29,9.87,77.45,0,0,2,9,0,Australia,batting
18,MW Short,2,2,0,11,12,9,5.50,91.66,0,0,0,2,0,Australia,batting
19,AM Hardie,1,1,0,3,5,3,3.00,60.0,0,0,0,0,0,Australia,batting
20,MG Neser,2,2,0,3,13,3,1.50,23.07,0,0,1,0,0,Australia,batting
21,T Sangha,2,1,0,0,3,0,0.00,0.0,0,0,1,0,0,Australia,batting
22,SH Johnson,1,1,1,0,0,0*,0,0.0,0,0,0,0,0,Australia,batting
23,Azmatullah Omarzai,15,12,4,455,482,97*,56.87,94.39,0,4,0,34,17,Afghanistan,batting
