,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country,Type
0,TH David,2023-2023,4,1,2.0,0,20,1,1/20,20.00,10.00,12.0,0,0,0,0,Australia,bowling
1,A Zampa,2023-2023,20,20,173.0,4,1000,38,4/8,26.31,5.78,27.3,0,0,2,0,Australia,bowling
2,AC Agar,2023-2023,2,2,19.0,0,81,3,2/41,27.00,4.26,38.0,0,0,0,0,Australia,bowling
3,MA Starc,2023-2023,14,14,121.5,3,750,25,5/53,30.00,6.15,29.2,1,0,7,0,Australia,bowling
4,AM Hardie,2023-2023,1,1,10.0,0,62,2,2/62,31.00,6.20,30.0,0,0,0,0,Australia,bowling
5,JR Hazlewood,2023-2023,16,16,140.1,10,747,24,3/38,31.12,5.32,35.0,0,0,5,0,Australia,bowling
6,NT Ellis,2023-2023,5,5,41.0,1,242,7,2/13,34.57,5.90,35.1,0,0,2,0,Australia,bowling
7,PJ Cummins,2023-2023,13,13,107.3,1,618,17,3/51,36.35,5.74,37.9,0,0,5,0,Australia,bowling
8,MP Stoinis,2023-2023,13,12,66.1,2,412,11,2/20,37.45,6.22,36.0,0,0,4,0,Australia,bowling
9,SA Abbott,2023-2023,10,10,84.3,2,487,13,3/23,37.46,5.76,39.0,0,0,5,0,Australia,bowling
10,GJ Maxwell,2023-2023,11,10,80.3,1,377,10,4/40,37.70,4.68,48.3,0,0,6,0,Australia,bowling
11,TM Head,2023-2023,13,7,35.0,0,181,4,2/21,45.25,5.17,52.5,0,0,4,0,Australia,bowling
12,MR Marsh,2023-2023,20,5,13.0,0,96,2,2/19,48.00,7.38,39.0,0,0,4,0,Australia,bowling
13,T Sangha,2023-2023,2,2,18.0,0,125,2,1/61,62.50,6.94,54.0,0,0,0,0,Australia,bowling
14,C Green,2023-2023,10,8,50.4,0,334,5,2/103,66.80,6.59,60.8,0,0,5,0,Australia,bowling
15,MG Neser,2023-2023,2,2,20.0,1,119,1,1/59,119.00,5.95,120.0,0,0,1,0,Australia,bowling
16,MW Short,2023-2023,2,2,10.0,0,54,0,0,0,5.40,0,0,0,1,0,Australia,bowling
17,SH Johnson,2023-2023,1,1,8.0,0,61,0,0,0,7.62,0,0,0,0,0,Australia,bowling
18,M Labuschagne,2023-2023,22,1,3.0,0,33,0,0,0,11.00,0,0,0,14,0,Australia,bowling
19,AT Carey,2023-2023,10,0,0.0,0,0,0,0,0,0,0,0,0,11,0,Australia,bowling
20,JP Inglis,2023-2023,16,0,0.0,0,0,0,0,0,0,0,0,0,16,2,Australia,bowling
21,SPD Smith,2023-2023,16,0,0.0,0,0,0,0,0,0,0,0,0,6,0,Australia,bowling
22,DA Warner,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,10,0,Australia,bowling
23,Rahmat Shah,2023-2023,18,2,2.1,0,18,1,1/6,18.00,8.30,13.0,0,0,6,0,Afghanistan,bowling
24,Gulbadin Naib,2023-2023,4,4,29.0,1,173,8,4/60,21.62,5.96,21.7,0,0,0,0,Afghanistan,bowling
25,Fareed Ahmad,2023-2023,4,4,28.0,0,182,6,2/43,30.33,6.50,28.0,0,0,0,0,Afghanistan,bowling
26,Mohammad Nabi,2023-2023,20,20,139.3,4,601,18,3/28,33.38,4.30,46.5,0,0,11,0,Afghanistan,bowling
27,Fazalhaq Farooqi,2023-2023,17,17,118.5,7,705,21,4/34,33.57,5.93,33.9,0,0,1,0,Afghanistan,bowling
28,Rashid Khan,2023-2023,17,17,158.3,4,724,20,3/37,36.20,4.56,47.5,0,0,6,0,Afghanistan,bowling
29,Mujeeb Ur Rahman,2023-2023,20,20,179.5,8,907,22,3/33,41.22,5.04,49.0,0,0,2,0,Afghanistan,bowling
30,Noor Ahmad,2023-2023,6,6,55.0,1,306,7,3/49,43.71,5.56,47.1,0,0,1,0,Afghanistan,bowling
31,Naveen-ul-Haq,2023-2023,8,8,53.4,1,352,8,2/47,44.00,6.55,40.2,0,0,2,0,Afghanistan,bowling
32,Azmatullah Omarzai,2023-2023,15,15,68.4,2,445,9,2/52,49.44,6.48,45.7,0,0,1,0,Afghanistan,bowling
33,Abdul Rahman,2023-2023,3,3,17.2,0,133,1,1/83,133.00,7.67,104.0,0,0,0,0,Afghanistan,bowling
34,Zia-ur-Rehman,2023-2023,1,1,3.3,0,22,0,0,0,6.28,0,0,0,0,0,Afghanistan,bowling
35,Karim Janat,2023-2023,2,2,9.0,0,59,0,0,0,6.55,0,0,0,0,0,Afghanistan,bowling
36,Mohammad Saleem,2023-2023,2,2,10.2,0,70,0,0,0,6.77,0,0,0,1,0,Afghanistan,bowling
37,Hashmatullah Shahidi,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Afghanistan,bowling
38,Ibrahim Zadran,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,6,0,Afghanistan,bowling
39,Ikram Alikhil,2023-2023,9,0,0.0,0,0,0,0,0,0,0,0,0,6,1,Afghanistan,bowling
40,Najibullah Zadran,2023-2023,10,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Afghanistan,bowling
41,Rahmanullah Gurbaz,2023-2023,20,0,0.0,0,0,0,0,0,0,0,0,0,12,0,Afghanistan,bowling
42,Riaz Hassan,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,3,0,Afghanistan,bowling
43,Shahidullah,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Afghanistan,bowling
44,Khaled Ahmed,2023-2023,2,2,13.2,1,72,3,3/60,24.00,5.40,26.6,0,0,0,0,Bangladesh,bowling
45,Taskin Ahmed,2023-2023,18,17,137.3,10,659,26,4/44,25.34,4.79,31.7,0,0,2,0,Bangladesh,bowling
46,Taijul Islam,2023-2023,6,6,48.0,0,261,10,3/54,26.10,5.43,28.8,0,0,2,0,Bangladesh,bowling
47,Ebadot Hossain,2023-2023,8,7,54.4,3,294,11,4/42,26.72,5.37,29.8,0,0,0,0,Bangladesh,bowling
48,Shoriful Islam,2023-2023,16,16,122.4,7,697,26,4/21,26.80,5.68,28.3,0,0,1,0,Bangladesh,bowling
49,Tanzim Hasan Sakib,2023-2023,3,3,23.3,1,137,5,3/80,27.40,5.82,28.2,0,0,0,0,Bangladesh,bowling
50,Mahedi Hasan,2023-2023,8,8,65.0,1,331,12,4/71,27.58,5.09,32.5,0,0,2,0,Bangladesh,bowling
51,Hasan Mahmud,2023-2023,14,13,103.1,4,622,20,5/32,31.10,6.02,30.9,1,0,1,0,Bangladesh,bowling
52,Shakib Al Hasan,2023-2023,23,20,174.0,7,816,23,4/35,35.47,4.68,45.3,0,0,6,0,Bangladesh,bowling
53,Mehidy Hasan Miraz,2023-2023,24,22,162.0,7,866,22,3/25,39.36,5.34,44.1,0,0,8,0,Bangladesh,bowling
54,Mustafizur Rahman,2023-2023,19,19,147.5,6,815,20,4/44,40.75,5.51,44.3,0,0,3,0,Bangladesh,bowling
55,Najmul Hossain Shanto,2023-2023,24,4,7.2,0,41,1,1/10,41.00,5.59,44.0,0,0,8,0,Bangladesh,bowling
56,Nasum Ahmed,2023-2023,11,10,83.3,4,422,7,3/43,60.28,5.05,71.5,0,0,3,0,Bangladesh,bowling
57,Afif Hossain,2023-2023,8,1,1.0,0,6,0,0,0,6.00,0,0,0,3,0,Bangladesh,bowling
58,Mahmudullah,2023-2023,14,5,12.5,0,79,0,0,0,6.15,0,0,0,7,0,Bangladesh,bowling
59,Soumya Sarkar,2023-2023,2,1,2.0,0,13,0,0,0,6.50,0,0,0,1,0,Bangladesh,bowling
60,Mrittunjoy Chowdhury,2023-2023,1,1,8.0,0,64,0,0,0,8.00,0,0,0,2,0,Bangladesh,bowling
61,Shamim Hossain,2023-2023,4,2,2.0,0,18,0,0,0,9.00,0,0,0,1,0,Bangladesh,bowling
62,Anamul Haque,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Bangladesh,bowling
63,Litton Das,2023-2023,26,0,0.0,0,0,0,0,0,0,0,0,0,15,1,Bangladesh,bowling
64,Mohammad Naim,2023-2023,6,0,0.0,0,0,0,0,0,0,0,0,0,2,0,Bangladesh,bowling
65,Mushfiqur Rahim,2023-2023,26,0,0.0,0,0,0,0,0,0,0,0,0,22,4,Bangladesh,bowling
66,Nurul Hasan,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,2,1,Bangladesh,bowling
67,Rony Talukdar,2023-2023,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Bangladesh,bowling
68,Tamim Iqbal,2023-2023,12,0,0.0,0,0,0,0,0,0,0,0,0,3,0,Bangladesh,bowling
69,Tanzid Hasan,2023-2023,14,0,0.0,0,0,0,0,0,0,0,0,0,4,0,Bangladesh,bowling
70,Towhid Hridoy,2023-2023,24,0,0.0,0,0,0,0,0,0,0,0,0,6,0,Bangladesh,bowling
71,Yasir Ali,2023-2023,2,0,0.0,0,0,0,0,0,0,0,0,0,1,0,Bangladesh,bowling
