,Name,Age,Batting style,Bowling style,Role,Country
0,Abdul Malik,25,Right-handed,—,Batters,Afghanistan
1,Bahir Shah,23,Right-handed,—,Batters,Afghanistan
2,Hashmatullah Shahidi,29,Left-handed,Right-arm off break,Batters,Afghanistan
3,Hazratullah Zazai,25,Left-handed,—,Batters,Afghanistan
4,Ibrahim Zadran,21,Right-handed,Right-arm medium-fast,Batters,Afghanistan
5,Najibullah Zadran,30,Left-handed,Right-arm off break,Batters,Afghanistan
6,Nasir Jamal,29,Right-handed,Right-arm leg break,Batters,Afghanistan
7,Riaz Hassan,21,Right-handed,—,Batters,Afghanistan
8,Sediqullah Atal,22,Left-handed,—,Batters,Afghanistan
9,Usman Ghani,27,Right-handed,Right-arm off break,Batters,Afghanistan
10,Zia-ur-Rehman,25,Right-handed,Slow left-arm orthodox,All-Rounders,Afghanistan
11,Amir Hamza,32,Right-handed,Slow left-arm orthodox,All-Rounders,Afghanistan
12,Azmatullah Omarzai,23,Right-handed,Right-arm medium-fast,All-Rounders,Afghanistan
13,Gulbadin Naib,32,Right-handed,Right-arm medium-fast,All-Rounders,Afghanistan
14,Karim Janat,25,Right-handed,Right-arm medium,All-Rounders,Afghanistan
15,Mohammad Nabi,38,Right-handed,Right-arm off break,All-Rounders,Afghanistan
16,Rahmat Shah,30,Right-handed,Right-arm leg break,All-Rounders,Afghanistan
17,Rashid Khan,25,Right-handed,Right-arm leg break,All-Rounders,Afghanistan
18,Shahidullah Kamal,24,Left-handed,Slow left-arm orthodox,All-Rounders,Afghanistan
19,Afsar Zazai,30,Right-handed,—,All-Rounders,Afghanistan
20,Ikram Alikhil,23,Left-handed,—,Wicket Keeper,Afghanistan
21,Rahmanullah Gurbaz,21,Right-handed,—,Wicket Keeper,Afghanistan
22,Noor Ahmad,18,Right-handed,Slow left-arm unorthodox,Wicket Keeper,Afghanistan
23,Zahir Khan,24,Left-handed,Slow left-arm unorthodox,Wicket Keeper,Afghanistan
24,Mujeeb Ur Rahman,22,Right-handed,Right-arm off break,Spin Bowler,Afghanistan
25,Abdul Rahman,22,Right-handed,Right-arm medium-fast,Spin Bowler,Afghanistan
26,Fareed Ahmad,29,Left-handed,Left-arm fast-medium,Spin Bowler,Afghanistan
27,Fazalhaq Farooqi,23,Right-handed,Left-arm fast-medium,Spin Bowler,Afghanistan
28,Mohammad Saleem,21,Right-handed,Right-arm fast,Pace Bowler,Afghanistan
29,Naveen-ul-Haq,24,Right-handed,Right-arm medium-fast,Pace Bowler,Afghanistan
30,Nijat Masood,24,Right-handed,Right-arm medium,Pace Bowler,Afghanistan
