,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Type,Name,Age,Batting style,Bowling style,Role,Arm,Consolidated_Bowling_Style,BF,HS,Team 1,Team 2,Winner,Margin,Wins,Country
0,TH David,4.0,1.0,2.0,0.0,20.0,1.0,1/20,20.0,10.0,12.0,0.0,0.0,0.0,0.0,bowling,David Warner,37,Left-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,14,Australia
1,A Zampa,20.0,20.0,173.0,4.0,1000.0,38.0,4/8,26.31,5.78,27.3,0.0,0.0,2.0,0.0,bowling,Adam Zampa,31,Right-handed,Right arm leg break,Spin Bowler,Right,Leg break,,,,,,,14,Australia
2,AC Agar,2.0,2.0,19.0,0.0,81.0,3.0,2/41,27.0,4.26,38.0,0.0,0.0,0.0,0.0,bowling,Ashton Agar,30,Left-handed,Slow left arm orthodox,Pace Bowler,Left,Slow left arm,,,,,,,14,Australia
3,MA Starc,14.0,14.0,121.5,3.0,750.0,25.0,5/53,30.0,6.15,29.2,1.0,0.0,7.0,0.0,bowling,Mitchell Starc,33,Left-handed,Left arm fast,Pace Bowler,Left,Fast,,,,,,,14,Australia
4,AM Hardie,1.0,1.0,10.0,0.0,62.0,2.0,2/62,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,24,,,,,,,,,,,,14,Australia
91,JR Hazlewood,16.0,16.0,140.1,10.0,747.0,24.0,3/38,31.12,5.32,35.0,0.0,0.0,5.0,0.0,bowling,Josh Hazlewood,32,Left-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,14,Australia
92,NT Ellis,5.0,5.0,41.0,1.0,242.0,7.0,2/13,34.57,5.9,35.1,0.0,0.0,2.0,0.0,bowling,Nathan Ellis,29,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,14,Australia
93,PJ Cummins,13.0,13.0,107.3,1.0,618.0,17.0,3/51,36.35,5.74,37.9,0.0,0.0,5.0,0.0,bowling,Pat Cummins,30,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,14,Australia
94,MP Stoinis,13.0,12.0,66.1,2.0,412.0,11.0,2/20,37.45,6.22,36.0,0.0,0.0,4.0,0.0,bowling,,34,,,,,,,,,,,,14,Australia
181,SA Abbott,10.0,10.0,84.3,2.0,487.0,13.0,3/23,37.46,5.76,39.0,0.0,0.0,5.0,0.0,bowling,Sean Abbott,31,Right-handed,Right arm fast medium,All-Rounders,Right,Fast medium,,,,,,,14,Australia
182,GJ Maxwell,11.0,10.0,80.3,1.0,377.0,10.0,4/40,37.7,4.68,48.3,0.0,0.0,6.0,0.0,bowling,,35,,,,,,,,,,,,14,Australia
269,TM Head,13.0,7.0,35.0,0.0,181.0,4.0,2/21,45.25,5.17,52.5,0.0,0.0,4.0,0.0,bowling,Travis Head,29,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,14,Australia
270,MR Marsh,20.0,5.0,13.0,0.0,96.0,2.0,2/19,48.0,7.38,39.0,0.0,0.0,4.0,0.0,bowling,,32,,,,,,,,,,,,14,Australia
357,T Sangha,2.0,2.0,18.0,0.0,125.0,2.0,1/61,62.5,6.94,54.0,0.0,0.0,0.0,0.0,bowling,Tanveer Sangha,21,Right-handed,Right arm leg break,Spin Bowler,Right,Leg break,,,,,,,14,Australia
358,C Green,10.0,8.0,50.4,0.0,334.0,5.0,2/103,66.8,6.59,60.8,0.0,0.0,5.0,0.0,bowling,Cameron Green,24,Right-handed,Right arm fast medium,All-Rounders,Right,Fast medium,,,,,,,14,Australia
359,MG Neser,2.0,2.0,20.0,1.0,119.0,1.0,1/59,119.0,5.95,120.0,0.0,0.0,1.0,0.0,bowling,Michael Neser,33,Right-handed,Right arm medium fast,Wicket Keeper,Right,Fast medium,,,,,,,14,Australia
360,MW Short,2.0,2.0,10.0,0.0,54.0,0.0,0,0.0,5.4,0.0,0.0,0.0,1.0,0.0,bowling,,28,,,,,,,,,,,,14,Australia
447,SH Johnson,1.0,1.0,8.0,0.0,61.0,0.0,0,0.0,7.62,0.0,0.0,0.0,0.0,0.0,bowling,Spencer Johnson,27,Left-handed,Left arm fast mediun,Pace Bowler,Left,Fast medium,,,,,,,14,Australia
448,M Labuschagne,22.0,1.0,3.0,0.0,33.0,0.0,0,0.0,11.0,0.0,0.0,0.0,14.0,0.0,bowling,Marnus Labuschagne,29,Right-handed,Right arm leg break,Batters,Right,Leg break,,,,,,,14,Australia
449,AT Carey,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,bowling,,,,,,,,,,,,,,14,Australia
536,JP Inglis,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,bowling,Josh Inglis,28,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,14,Australia
537,SPD Smith,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,,,,,,,,,,,,,,14,Australia
